category_title,total_videos,total_views,avg_views,avg_likes,avg_engagement,total_trending_entries
Music,6032,242210192162,7253322.32,193992.1,0.05,33393
Entertainment,30821,88424277793,1227177.54,32621.92,0.03,72055
Film & Animation,4439,24281430495,1877914.19,39691.58,0.03,12930
Comedy,6423,18606641035,989504.42,47744.7,0.06,18804
People & Blogs,12324,18487633074,761403.28,22089.35,0.04,24281
Sports,7281,15808582496,1083373.25,23371.68,0.03,14592
Howto & Style,5054,8561055849,659709.94,23340.1,0.06,12977
Science & Technology,2065,7995943724,1292169.32,33705.42,0.05,6188
News & Politics,10824,7447969056,388016.1,6157.9,0.03,19195
Gaming,2880,6424998131,916024.83,35194.11,0.06,7014
Education,2667,2548593355,434246.61,18774.5,0.06,5869
Pets & Animals,648,1678756877,725791.99,20944.64,0.05,2313
Autos & Vehicles,1578,1187257732,475664.16,8317.48,0.04,2496
Nonprofits & Activism,421,862466843,1242747.61,101318.25,0.06,694
Travel & Events,422,649969648,561771.52,9750.3,0.04,1157
Shows,223,352175444,635695.75,6713.59,0.01,554
Movies,11,53139238,1832387.52,25889.1,0.02,29
Trailers,2,21744,7248.0,64.0,0.01,3
