publish_hour,video_count,avg_views,avg_engagement
0,5107,2854970.59,0.04
1,5124,2238486.61,0.04
2,4887,1857307.18,0.03
3,5103,2109845.33,0.03
4,6986,5999989.33,0.03
5,7483,5586878.42,0.03
6,4814,1272152.26,0.03
7,5336,1710693.19,0.03
8,6637,2008478.62,0.04
9,7035,2229443.03,0.05
10,7226,1529046.41,0.04
11,8380,1325601.35,0.04
12,10183,1817567.77,0.04
13,12497,1856152.32,0.04
14,15271,1868073.15,0.04
15,17597,1597079.02,0.05
16,21850,1380621.87,0.05
17,20253,1396559.64,0.05
18,13983,1215689.77,0.05
19,12263,974853.84,0.05
20,10829,1456828.5,0.04
21,10588,1667701.22,0.04
22,8655,2134602.78,0.04
23,6457,1841673.38,0.04
