channel_title,unique_videos,total_views,total_likes,avg_engagement,trending_appearances
ChildishGambinoVEVO,1,10535954773,271258464,0.0375,77
NickyJamTV,3,9308934693,80938538,0.0254,109
Marvel Entertainment,26,8621572942,249599864,0.0353,396
Ozuna,5,8478719125,77224921,0.0208,101
DrakeVEVO,2,7547934171,186358830,0.0343,91
Bad Bunny,3,6989131765,112857866,0.0371,44
ibighit,9,6456684497,602184886,0.1534,248
ArianaGrandeVevo,3,6035313563,172333730,0.0565,93
Ed Sheeran,6,5507205972,178760421,0.05,177
jypentertainment,15,5366841161,154279506,0.0572,239
Flow La Movie,1,5168434018,54135423,0.0155,34
TaylorSwiftVEVO,5,5072060557,183031845,0.0581,162
YouTube Spotlight,4,4955178973,121722969,0.0762,75
BeckyGVEVO,1,4232894099,53174349,0.0233,50
MalumaVEVO,7,4129201316,75682426,0.033,139
Sony Pictures Entertainment,14,4123079303,86671099,0.0208,288
Dude Perfect,17,3803072784,138038568,0.0424,324
Disney•Pixar,4,3758079576,58716857,0.0224,172
20th Century Fox,23,3584700703,77052278,0.0224,379
Cardi B,6,3509689878,89404390,0.0417,142
