video_id,title,channel_title,category_title,region,views,likes,dislikes,comment_count,engagement_rate,trending_date,publish_time
_I_D_8Z4sJE,Nicky Jam x J. Balvin - X (EQUIS) | Video Oficial | Prod. Afro Bros & Jeon,NickyJamTV,Music,GB,424538912,2818771,149275,99380,0.0072,2018-04-07,2018-03-02 05:00:19+00:00
9jI-z9QN6g8,"Te Bote Remix - Casper, Nio García, Darell, Nicky Jam, Bad Bunny, Ozuna | Video Oficial",Flow La Movie,Music,GB,337621571,2581961,166549,113564,0.0085,2018-05-18,2018-04-11 22:00:00+00:00
kLpH1nSLJSs,Bad Bunny - Amorfoda | Video Oficial,Bad Bunny,Music,GB,328860380,3823879,215530,225216,0.013,2018-03-23,2018-02-15 00:00:03+00:00
wfWkmURBNv8,Ozuna x Romeo Santos - El Farsante Remix,Ozuna,Music,GB,288811992,1618180,151147,67506,0.0064,2018-03-01,2018-01-30 15:00:05+00:00
VYOjWnS4cMY,Childish Gambino - This Is America (Official Video),ChildishGambinoVEVO,Music,GB,259721696,5444541,379862,553371,0.0246,2018-06-11,2018-05-06 04:00:07+00:00
xpVfcZ0ZcFM,Drake - God’s Plan,DrakeVEVO,Music,GB,258164991,4737873,117198,301756,0.02,2018-03-25,2018-02-17 05:00:01+00:00
ffxKSjUwKdU,Ariana Grande - No Tears Left To Cry,ArianaGrandeVevo,Music,GB,208876887,3394437,150086,259613,0.0182,2018-05-26,2018-04-20 04:00:03+00:00
zEf423kYfqk,"Becky G, Natti Natasha - Sin Pijama (Official Video)",BeckyGVEVO,Music,GB,200862743,1668418,142569,97826,0.0095,2018-05-26,2018-04-20 10:40:51+00:00
FlsCjmMhFmw,YouTube Rewind: The Shape of 2017 | #YouTubeRewind,YouTube Spotlight,Entertainment,GB,169884583,3312868,1753274,845233,0.0348,2017-12-24,2017-12-06 17:58:51+00:00
sGIm0-dQd8M,Dura - Daddy Yankee (Video Oficial),Daddy Yankee,Music,GB,167456025,1633407,74005,65395,0.0106,2018-02-14,2018-01-18 22:32:49+00:00
TyHvyGVs42U,"Luis Fonsi, Demi Lovato - Échame La Culpa",LuisFonsiVEVO,Music,GB,143408235,2686169,137938,144217,0.0207,2017-12-01,2017-11-17 05:00:01+00:00
2Vv-BfVoq4g,Ed Sheeran - Perfect (Official Music Video),Ed Sheeran,Music,GB,138578860,2584773,49428,113639,0.0198,2017-11-27,2017-11-09 11:04:14+00:00
M4ZoCHID9GI,The Weeknd - Call Out My Name (Official Video),TheWeekndVEVO,Music,GB,138535053,1493942,44048,57119,0.0115,2018-05-19,2018-04-12 16:00:04+00:00
Ck4xHocysLw,Ozuna - Única (Video Oficial) 🐻 A U R A,Ozuna,Music,GB,137081637,824296,44012,27109,0.0065,2018-06-02,2018-04-26 17:52:13+00:00
7C2z4GqqS5E,BTS (방탄소년단) 'FAKE LOVE' Official MV,ibighit,Music,US,123010920,5613827,206892,1228655,0.0573,2018-06-01,2018-05-18 09:00:02+00:00
tCXGJQYZ9JA,Taylor Swift - Delicate,TaylorSwiftVEVO,Music,GB,117270304,2161260,133428,175635,0.0211,2018-04-17,2018-03-12 01:15:10+00:00
U9BwWKXjVaI,Drake - Nice For What,DrakeVEVO,Music,GB,106147032,1275948,52924,65066,0.0131,2018-05-13,2018-04-07 02:46:31+00:00
au2n7VVGv_c,Post Malone - Psycho ft. Ty Dolla $ign,PostMaloneVEVO,Music,GB,105629911,1340938,41651,45784,0.0135,2018-04-28,2018-03-23 04:00:00+00:00
6ZfuNTqbHE8,Marvel Studios' Avengers: Infinity War Official Trailer,Marvel Entertainment,Entertainment,GB,100672931,2701353,56313,368739,0.0311,2017-12-14,2017-11-29 13:26:24+00:00
fGqdIPer-ms,Migos - Walk It Talk It ft. Drake,MigosVEVO,Music,GB,100159686,1339372,67821,73838,0.0148,2018-04-24,2018-03-18 21:49:53+00:00
DkeiKbqa02g,"Calvin Harris, Dua Lipa - One Kiss (Official Video)",CalvinHarrisVEVO,Music,GB,99282704,1003879,46089,30620,0.0109,2018-06-02,2018-05-02 23:01:00+00:00
i0p1bmr0EmE,TWICE What is Love? M/V,jypentertainment,Music,GB,98250935,1461215,133068,274087,0.019,2018-05-14,2018-04-09 08:59:51+00:00
JNkTNAknE4I,Romeo Santos - Sobredosis (Official Video) ft. Ozuna,RomeoSantosVEVO,Music,GB,94344388,322360,25183,7941,0.0038,2018-03-30,2018-02-21 23:49:59+00:00
xTlNMmZKwpA,"Cardi B, Bad Bunny & J Balvin - I Like It [Official Music Video]",Cardi B,Music,GB,94254507,1816753,102474,101077,0.0214,2018-06-14,2018-05-29 14:05:10+00:00
